"time","left.y","left.x","left.dt","right.y","right.x","right.dt","x.mid","dt.mid","left.x.smooth","right.x.smooth","left.dt.smooth","right.dt.smooth","dx","wt","direction","state","left.dt.inverse","right.dt.inverse","time.gap","dt.mid.gap","slice.id","ddt","ddt.adj","ddt.adj.leg","ddt.adj.dif","rhythm","step.id","step.leg","left.stance","right.stance","left.stride.lt","right.stride.lt","left.stride.wt","right.stride.wt","left.stride.t","right.stride.t","turn"
2429,763.51,-59.1942,1311.6,973.097,-200.99,1774.4,-130.0921,1543,-59.1942,-200.99,1311.6,1774.4,141.7958,141.7958,"forth","straight",1311.6,1774.4,33,25.115,1,-462.8,-491.946893939394,"right",1.28575757575758,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2462,749.571,-57.389,1357.93,968.858,-201.431,1778.3,-129.41,1568.115,-59.1942,-201.431,1357.93,1778.3,142.2368,142.2368,"forth","straight",1357.93,1778.3,34,24.5550000000001,1,-420.37,-449.516893939394,"right",1.31323529411764,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2496,744.213,-59.3704,1404.81,970.07,-201.683,1780.53,-130.5267,1592.67,-59.3704,-201.683,1404.81,1780.53,142.3126,142.3126,"forth","straight",1404.81,1780.53,33,26.6900000000001,1,-375.72,-404.866893939394,"right",1.38,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2529,753.724,-61.4606,1454.27,965.809,-202.128,1784.45,-131.7943,1619.36,-61.4606,-202.128,1454.27,1784.45,140.6674,140.6674,"forth","straight",1454.27,1784.45,33,27.9049999999997,1,-330.18,-359.326893939394,"right",1.34606060606061,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2562,773.671,-62.4485,1503.16,961.842,-202.911,1791.37,-132.67975,1647.265,-62.4485,-202.634,1503.16,1788.92,140.1855,140.1855,"forth","straight",1503.16,1788.92,34,33.2650000000003,1,-285.76,-314.906893939394,"right",1.85294117647059,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2596,782.505,-65.0657,1566.16,963.74,-203.312,1794.9,-134.18885,1680.53,-63.3594,-202.634,1566.16,1788.92,139.2746,139.2746,"forth","straight",1566.16,1788.92,34,26.3299999999999,1,-222.76,-251.906893939394,"right",1.65264705882353,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2630,800.149,-67.5019,1624.8,974.643,-202.634,1788.92,-135.06795,1706.86,-63.3594,-202.634,1624.8,1791.37,139.2746,139.2746,"forth","straight",1624.8,1791.37,33,22.02,1,-166.57,-195.716893939394,"right",1.34454545454545,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2663,833.977,-63.3594,1669.18,974.457,-202.595,1788.58,-132.9772,1728.88,-65.0657,-202.595,1669.18,1791.38,137.5293,137.5293,"forth","straight",1669.18,1791.38,102,83.3249999999998,1,-122.2,-151.346893939394,"right",1.60637254901961,"shape",-1,"-",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2765,930.307,-63.0052,1833.03,975.983,-196.488,1791.38,-129.7466,1812.205,-67.5019,-196.596,1833.03,1791.38,129.0941,129.0941,"forth","straight",1833.03,1791.38,32,28.3900000000001,1,41.6499999999999,12.5031060606059,"left",1.73250000000001,"-",1,"left",-1,-1,-1,-1,-1,-1,-1,-1,"-"
2797,922.198,-71.7089,1889.14,976.35,-196.562,1792.05,-134.13545,1840.595,-71.7089,-196.596,1889.14,1792.05,124.8871,124.8871,"forth","straight",1889.14,1792.05,33,31.54,1,97.0900000000001,67.9431060606062,"left",1.89272727272727,"-",1,"left",-1,-1,-1,-1,-1,-1,-1,-1,"-"
